N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.485272,0.0710534025645
100,4,1,2,0.469316,0.0384202048927
100,4,1,3,0.504856,0.168967497656
100,4,2,1,0.485126,0.0482308005739
100,4,3,1,0.536556,0.0528406554085
100,4,2,2,0.479688,0.0401670344437
100,4,3,3,0.581552,0.0346563023994
100,8,1,1,0.482972,0.0675765877801
100,8,1,2,0.470094,0.039035588429
100,8,1,3,0.496812,0.0476619413788
100,8,2,1,0.488002,0.0476282058868
100,8,3,1,0.53491,0.0523945216602
100,8,2,2,0.485034,0.0415710096582
100,8,3,3,0.57975,0.033365124007
398,8,1,1,0.699776,0.0753057622231
398,8,1,2,0.800726,0.0464974722324
398,8,1,3,0.78047,0.043444459946
398,8,2,1,0.825552,0.0507438596877
398,8,3,1,0.851408,0.0493242489654
398,8,2,2,0.664884,0.0350850187972
398,8,3,3,0.81521,0.0484604364405
