N,B,P,C,Average Time (ms),Standard Deviation (ms)
100,4,1,1,0.359254,0.114177762651
100,4,1,2,0.296296,0.030741834428
100,4,1,3,0.317794,0.0325085152537
100,4,2,1,0.249406,0.0308138469523
100,4,3,1,0.28796,0.0855923033923
100,4,2,2,0.29296,0.0742204715695
100,4,3,3,0.270394,0.114485626888
100,8,1,1,0.319314,0.0823785129994
100,8,1,2,0.323972,0.0685599242707
100,8,1,3,0.339896,0.0634619034067
100,8,2,1,0.29674,0.0679753219926
100,8,3,1,0.301712,0.0689295368909
100,8,2,2,0.281174,0.0632357788281
100,8,3,3,0.30411,0.293643841924
398,8,1,1,0.527722,0.0609654715064
398,8,1,2,0.548536,0.075772611833
398,8,1,3,0.660728,0.0635980975816
398,8,2,1,0.476838,0.088950636625
398,8,3,1,0.58288,0.0658470166371
398,8,2,2,0.435864,0.0736608817759
398,8,3,3,0.418988,0.17350998777
